chr	start	end	geneID	geneSymbol	symbol	NLMeanCnt	NLCountValid	NLadjPval	enrichSig	SigPeakValue	ovSig
chr15	40951470	40953969	NM_024111	CHAC1	promoter_25640	2.74007513246599	11	0	TRUE	NA	NA
chr15	40951470	40953969	NM_001142776	CHAC1	promoter_25641	2.74007513246599	11	0	TRUE	NA	NA
chr15	41115781	41118280	NM_017553	INO80	promoter_25642	2.37383332094571	7	0	TRUE	NA	NA
chr15	41115747	41118246	NR_104038	INO80	promoter_25643	2.37383332094571	7	0	TRUE	NA	NA
chr15	41229267	41231766	NM_007236	CHP1	promoter_25647	2.49638853673678	7	0	TRUE	NA	NA
chr15	41281989	41284488	NR_026757	OIP5-AS1	promoter_25648	2.57521625236592	9	0	TRUE	NA	NA
chr15	41281989	41284488	NR_152822	OIP5-AS1	promoter_25649	2.57521625236592	9	0	TRUE	NA	NA
chr15	41401997	41404496	NM_016013	NDUFAF1	promoter_25660	2.01141377106319	5	0	TRUE	NA	NA
chr15	41401997	41404496	NR_045620	NDUFAF1	promoter_25661	2.01141377106319	5	0	TRUE	NA	NA
chr15	41415103	41417602	NM_015138	RTF1	promoter_25662	1.93741530761474	8	0.00654755632446035	TRUE	NA	NA
chr15	41543758	41546257	NM_015540	RPAP1	promoter_25667	2.16380343877843	7	0	TRUE	NA	NA
chr15	41557971	41560470	NM_001330264	TYRO3	promoter_25669	2.04405864623277	5	0	TRUE	NA	NA
chr15	41772483	41774982	NM_001128608	MAPKBP1	promoter_25673	NA	NA	NA	NA	4.1678947555943	TRUE
chr15	41772483	41774982	NR_049761	MAPKBP1	promoter_25674	NA	NA	NA	NA	4.1678947555943	TRUE
chr15	41772483	41774982	NR_049762	MAPKBP1	promoter_25675	NA	NA	NA	NA	4.1678947555943	TRUE
chr15	41772483	41774982	NM_001265611	MAPKBP1	promoter_25676	NA	NA	NA	NA	4.1678947555943	TRUE
chr15	41772483	41774982	NM_014994	MAPKBP1	promoter_25677	1.75035063723619	5	0	TRUE	4.1678947555943	TRUE
chr15	42400389	42402888	NM_173088	CAPN3	promoter_25704	2.22669199783416	6	0	TRUE	NA	NA
chr15	42457033	42459532	NM_022473	ZNF106	promoter_25707	2.08087385882007	6	0	TRUE	NA	NA
chr15	42457033	42459532	NM_001284306	ZNF106	promoter_25716	2.08087385882007	6	0	TRUE	NA	NA
chr15	42493305	42495804	NM_130798	SNAP23	promoter_25719	2.18333612398184	6	0	TRUE	NA	NA
chr15	42493633	42496132	NM_003825	SNAP23	promoter_25720	2.00974716636488	5	0	TRUE	NA	NA
chr15	42548294	42550793	NM_153260	LRRC57	promoter_25721	2.16862829568513	6	0	TRUE	4.92582807168236	TRUE
chr15	42736629	42739128	NM_138477	CDAN1	promoter_25729	2.26741279214041	8	0	TRUE	NA	NA
chr1	58699563	58702062	NM_001085487	MYSM1	promoter_2579	2.5284999985608	11	0	TRUE	NA	NA
chr15	43745799	43748298	NR_002318	CATSPER2P1	promoter_25839	NA	NA	NA	NA	5.16948017767702	TRUE
chr15	43744437	43746936	NM_005313	PDIA3	promoter_25840	2.23889482123945	10	0	TRUE	5.16948017767702	TRUE
chr15	43776467	43778966	NM_025165	ELL3	promoter_25841	NA	NA	NA	NA	3.93269909538896	TRUE
chr15	43789975	43792474	NR_037672	SERF2	promoter_25843	2.16460793246834	7	0	TRUE	NA	NA
chr15	43789975	43792474	NR_037673	SERF2-C15ORF63	promoter_25844	2.16460793246834	7	0	TRUE	NA	NA
chr15	43789975	43792474	NM_001199876	SERF2	promoter_25845	2.16460793246834	7	0	TRUE	NA	NA
chr15	43789975	43792474	NM_001199875	SERF2	promoter_25846	2.16460793246834	7	0	TRUE	NA	NA
chr15	43790319	43792818	NM_001018108	SERF2	promoter_25847	2.15132688269539	7	0	TRUE	NA	NA
chr15	43790319	43792818	NM_001199878	SERF2	promoter_25848	2.15132688269539	7	0	TRUE	NA	NA
chr15	43793260	43795759	NR_031695	MIR1282	promoter_25849	1.95459869855598	6	0	TRUE	NA	NA
chr15	43799598	43802097	NM_001258032	SERINC4	promoter_25850	2.85855847107845	13	0	TRUE	4.52006807186954	TRUE
chr15	43799598	43802097	NM_001258032	SERINC4	promoter_25850	2.85855847107845	13	0	TRUE	4.52006807186954	TRUE
chr15	43799598	43802097	NM_001258031	SERINC4	promoter_25851	2.85855847107845	13	0	TRUE	4.52006807186954	TRUE
chr15	43799598	43802097	NM_001258031	SERINC4	promoter_25851	2.85855847107845	13	0	TRUE	4.52006807186954	TRUE
chr15	43798420	43800919	NM_001199885	HYPK	promoter_25852	2.96863790407423	14	0	TRUE	5.13417493052741	TRUE
chr15	43798598	43801097	NM_016400	HYPK	promoter_25853	2.93089085975818	14	0	TRUE	5.13417493052741	TRUE
chr15	44425628	44428127	NM_016396	CTDSPL2	promoter_25868	1.86416936206262	5	0	TRUE	5.41415885823724	TRUE
chr15	44535067	44537566	NM_001284336	EIF3J	promoter_25871	NA	NA	NA	NA	4.84744196216997	TRUE
chr15	44535067	44537566	NM_001284335	EIF3J	promoter_25872	NA	NA	NA	NA	4.84744196216997	TRUE
chr15	44535146	44537645	NM_003758	EIF3J	promoter_25873	NA	NA	NA	NA	4.84744196216997	TRUE
chr15	44663163	44665662	NM_001160227	SPG11	promoter_25874	1.86394723043331	7	0.00346708307307933	TRUE	NA	NA
chr15	44663163	44665662	NM_025137	SPG11	promoter_25875	1.86394723043331	7	0	TRUE	NA	NA
chr15	45021194	45023693	NR_034039	SORD	promoter_25889	2.28486996610311	9	0	TRUE	NA	NA
chr15	45021194	45023693	NM_003104	SORD	promoter_25890	2.28486996610311	9	0	TRUE	NA	NA
chr15	45180708	45183207	NM_001301171	SHF	promoter_25903	NA	NA	NA	NA	4.01887843444726	TRUE
chr15	45187467	45189966	NM_001301169	SHF	promoter_25904	2.07400326688593	7	0	TRUE	NA	NA
chr15	45187467	45189966	NM_001301170	SHF	promoter_25905	2.07400326688593	7	0	TRUE	NA	NA
chr15	45187467	45189966	NM_001301168	SHF	promoter_25906	2.07400326688593	7	0.00346708307307933	TRUE	NA	NA
chr15	45200617	45203116	NM_138356	SHF	promoter_25907	2.22149427517355	5	0	TRUE	NA	NA
chr15	45522256	45524755	NM_013309	SLC30A4	promoter_25922	NA	NA	NA	NA	4.57310199268605	TRUE
chr15	45522256	45524755	NM_001321036	SLC30A4	promoter_25923	NA	NA	NA	NA	4.57310199268605	TRUE
chr15	50180195	50182694	NM_001159629	SLC27A2	promoter_25993	2.28164973043381	6	0	TRUE	5.45471534576223	TRUE
chr15	50180195	50182694	NM_003645	SLC27A2	promoter_25994	2.28164973043381	6	0	TRUE	5.45471534576223	TRUE
chr15	50358328	50360827	NR_039862	MIR4712	promoter_26006	1.94310688228252	6	0	TRUE	NA	NA
chr15	50422404	50424903	NM_001128610	USP8	promoter_26007	2.52354766316553	9	0	TRUE	6.10561370823948	TRUE
chr15	50422404	50424903	NM_001283049	USP8	promoter_26008	2.52354766316553	9	0	TRUE	6.10561370823948	TRUE
chr15	50422404	50424903	NM_005154	USP8	promoter_26009	2.52354766316553	9	0	TRUE	6.10561370823948	TRUE
chr1	59732797	59735296	NR_039861	MIR4711	promoter_2601	2.16322824971592	6	0	TRUE	NA	NA
chr15	50686298	50688797	NM_001301212	TRPM7	promoter_26011	2.37212547453	5	0	TRUE	NA	NA
chr15	50686298	50688797	NM_017672	TRPM7	promoter_26012	2.37212547453	5	0	TRUE	NA	NA
chr15	50686298	50688797	NR_149154	TRPM7	promoter_26013	2.37212547453	5	0	TRUE	NA	NA
chr15	50686298	50688797	NR_149153	TRPM7	promoter_26014	2.37212547453	5	0.00941700282752121	TRUE	NA	NA
chr15	50686298	50688797	NR_149152	TRPM7	promoter_26015	2.37212547453	5	0	TRUE	NA	NA
chr15	50765207	50767706	NM_032802	SPPL2A	promoter_26016	2.22135886910251	10	0	TRUE	5.2014671853535	TRUE
chr1	59770794	59773293	NR_110627	LOC101926944	promoter_2602	1.75714652412201	5	0.00346708307307933	TRUE	NA	NA
chr1	59812948	59815447	NM_015888	HOOK1	promoter_2603	2.30157576083096	7	0	TRUE	5.40746141532241	TRUE
chr15	51737156	51739655	NM_153374	LYSMD2	promoter_26054	NA	NA	NA	NA	4.43503111072132	TRUE
chr15	51736563	51739062	NM_001363969	LYSMD2	promoter_26055	NA	NA	NA	NA	4.43503111072132	TRUE
chr15	51923621	51926120	NR_109775	LOC100422556	promoter_26060	NA	NA	NA	NA	4.09526655668941	TRUE
chr15	52179426	52181925	NM_006578	GNB5	promoter_26069	2.56269474650131	8	0	TRUE	NA	NA
chr15	52179192	52181691	NM_001379343	GNB5	promoter_26071	2.41505459139187	8	0.00346708307307933	TRUE	NA	NA
chr15	52568722	52571221	NM_001306195	ARPP19	promoter_26080	2.07828441267921	8	0	TRUE	NA	NA
chr15	52568531	52571030	NM_006628	ARPP19	promoter_26081	2.14243058324877	8	0	TRUE	NA	NA
chr15	52568531	52571030	NM_001306196	ARPP19	promoter_26082	2.14243058324877	8	0	TRUE	NA	NA
chr15	52568947	52571446	NM_001306191	ARPP19	promoter_26083	2.05452402357668	8	0	TRUE	NA	NA
chr15	52568333	52570832	NM_001330309	ARPP19	promoter_26084	2.28905040169348	8	0	TRUE	NA	NA
chr15	52789837	52792336	NM_004498	ONECUT1	promoter_26119	2.02648504688845	7	0	TRUE	NA	NA
chr15	55318624	55321123	NM_001308423	PIGBOS1	promoter_26135	NA	NA	NA	NA	4.7671559823839	TRUE
chr15	55318624	55321123	NM_001308421	PIGBOS1	promoter_26136	NA	NA	NA	NA	4.7671559823839	TRUE
chr15	55318624	55321123	NM_001308422	PIGBOS1	promoter_26137	NA	NA	NA	NA	4.7671559823839	TRUE
chr15	55317221	55319720	NM_004855	PIGB	promoter_26138	NA	NA	NA	NA	4.7671559823839	TRUE
chr1	61253019	61255518	NR_104180	NFIA-AS1	promoter_2616	1.88580092395732	5	0.00654755632446035	TRUE	5.14855335049167	TRUE
chr1	61253019	61255518	NR_104180	NFIA-AS1	promoter_2616	1.88580092395732	5	0.00654755632446035	TRUE	5.14855335049167	TRUE
chr15	56733587	56736086	NM_001002843	ZNF280D	promoter_26185	2.40679183861606	10	0	TRUE	NA	NA
chr15	56733587	56736086	NM_001288588	ZNF280D	promoter_26186	2.40679183861606	10	0	TRUE	NA	NA
chr15	56733587	56736086	NM_017661	ZNF280D	promoter_26187	2.40679183861606	10	0	TRUE	NA	NA
chr15	56733587	56736086	NM_001288589	ZNF280D	promoter_26188	2.40679183861606	10	0	TRUE	NA	NA
chr15	56733587	56736086	NM_001002844	ZNF280D	promoter_26189	2.40679183861606	10	0	TRUE	NA	NA
chr15	56916089	56918588	NM_001322151	TCF12	promoter_26191	2.28648819632389	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_001322157	TCF12	promoter_26192	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_003205	TCF12	promoter_26193	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_001322154	TCF12	promoter_26194	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_001322152	TCF12	promoter_26195	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_001322158	TCF12	promoter_26196	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_001322156	TCF12	promoter_26197	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_001322159	TCF12	promoter_26198	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_207037	TCF12	promoter_26199	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_207036	TCF12	promoter_26200	2.54351491918299	5	0	TRUE	NA	NA
chr15	56916643	56919142	NM_207038	TCF12	promoter_26201	2.54351491918299	5	0	TRUE	NA	NA
chr15	57217429	57219928	NM_001306220	TCF12	promoter_26206	1.73836989728035	6	0	TRUE	NA	NA
chr15	57217429	57219928	NM_001306219	TCF12	promoter_26207	1.73836989728035	6	0	TRUE	NA	NA
chr15	57217429	57219928	NM_207040	TCF12	promoter_26208	1.73836989728035	6	0.00941700282752121	TRUE	NA	NA
chr15	57374504	57377003	NM_032866	CGNL1	promoter_26212	2.33676732547633	8	0	TRUE	5.11692699569195	TRUE
chr15	57374504	57377003	NM_001252335	CGNL1	promoter_26213	2.33676732547633	8	0	TRUE	5.11692699569195	TRUE
chr15	57704520	57707019	NM_001018102	POLR2M	promoter_26224	NA	NA	NA	NA	4.3288730946794	TRUE
chr15	57704713	57707212	NM_015532	POLR2M	promoter_26225	NA	NA	NA	NA	4.3288730946794	TRUE
chr1	61740479	61742978	NM_176877	PATJ	promoter_2623	1.72403587437918	6	0.00346708307307933	TRUE	NA	NA
chr15	58429990	58432489	NM_000236	LIPC	promoter_26234	1.90713389849787	7	0	TRUE	NA	NA
chr15	58498236	58500735	NR_120338	LIPC-AS1	promoter_26235	2.64276016877448	9	0	TRUE	4.98439384394248	TRUE
chr15	58769301	58771800	NM_001040453	MINDY2	promoter_26240	1.88145368262975	5	0	TRUE	NA	NA
chr15	58985662	58988161	NM_001270529	RNF111	promoter_26246	2.44777304288476	7	0	TRUE	NA	NA
chr15	58985662	58988161	NM_001330331	RNF111	promoter_26247	2.44777304288476	7	0	TRUE	NA	NA
chr15	58985662	58988161	NM_001270528	RNF111	promoter_26248	2.44777304288476	7	0	TRUE	NA	NA
chr15	58985662	58988161	NM_017610	RNF111	promoter_26249	2.44777304288476	7	0	TRUE	NA	NA
chr15	58986145	58988644	NM_001270530	RNF111	promoter_26250	2.38331931994776	5	0	TRUE	NA	NA
chr15	59372372	59374871	NM_004998	MYO1E	promoter_26252	2.35354889519373	6	0	TRUE	4.04074249850164	TRUE
chr15	59657016	59659515	NM_001320930	GTF2A2	promoter_26257	2.37182958409998	8	0	TRUE	4.51949887849141	TRUE
chr15	59656806	59659305	NM_001320929	GTF2A2	promoter_26258	2.37182958409998	8	0	TRUE	4.51949887849141	TRUE
chr15	59657016	59659515	NM_004492	GTF2A2	promoter_26259	2.37182958409998	8	0	TRUE	4.51949887849141	TRUE
chr15	59688821	59691320	NM_001320674	BNIP2	promoter_26260	2.13704102317587	6	0	TRUE	4.55902380872506	TRUE
chr15	59688821	59691320	NM_004330	BNIP2	promoter_26261	2.13704102317587	6	0	TRUE	4.55902380872506	TRUE
chr15	59688427	59690926	NM_001320675	BNIP2	promoter_26262	2.30980201341007	6	0	TRUE	4.55902380872506	TRUE
chr15	59688821	59691320	NM_001368059	BNIP2	promoter_26263	2.13704102317587	6	0.00654755632446035	TRUE	4.55902380872506	TRUE
chr15	59688821	59691320	NM_001368058	BNIP2	promoter_26264	2.13704102317587	6	0.00941700282752121	TRUE	4.55902380872506	TRUE
chr15	59688821	59691320	NM_001368057	BNIP2	promoter_26265	2.13704102317587	6	0	TRUE	4.55902380872506	TRUE
chr15	59688821	59691320	NM_001368061	BNIP2	promoter_26266	2.13704102317587	6	0	TRUE	4.55902380872506	TRUE
chr15	59688821	59691320	NM_001368060	BNIP2	promoter_26267	NA	NA	NA	NA	4.55902380872506	TRUE
chr15	60397487	60399986	NM_001136015	ANXA2	promoter_26269	3.25633111914892	11	0	TRUE	6.36098635193691	TRUE
chr15	60397487	60399986	NM_004039	ANXA2	promoter_26270	3.25633111914892	11	0	TRUE	6.36098635193691	TRUE
chr15	60397487	60399986	NM_001002858	ANXA2	promoter_26271	3.25633111914892	11	0	TRUE	6.36098635193691	TRUE
chr15	60397487	60399986	NM_001002857	ANXA2	promoter_26272	3.25633111914892	11	0	TRUE	6.36098635193691	TRUE
chr15	60592027	60594526	NM_134262	RORA	promoter_26282	1.98959877545484	5	0	TRUE	4.22032748115977	TRUE
chr15	60592027	60594526	NM_134262	RORA	promoter_26282	1.98959877545484	5	0	TRUE	4.22032748115977	TRUE
chr15	61228803	61231302	NM_134261	RORA	promoter_26283	1.95635870658778	8	0	TRUE	NA	NA
chr15	60679568	60682067	NR_120318	RORA-AS2	promoter_26285	2.11305932228109	7	0	TRUE	5.37165931977982	TRUE
chr15	60679568	60682067	NR_120319	RORA-AS2	promoter_26286	2.11305932228109	7	0	TRUE	5.37165931977982	TRUE
chr15	62304235	62306734	NR_107034	MIR8067	promoter_26298	2.03007884517868	8	0	TRUE	4.39996156285665	TRUE
chr15	63040746	63043245	NM_001365777	TPM1	promoter_26303	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001365776	TPM1	promoter_26304	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001365778	TPM1	promoter_26305	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001365779	TPM1	promoter_26306	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001018007	TPM1	promoter_26307	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001018006	TPM1	promoter_26308	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001301244	TPM1	promoter_26309	2.33441464058008	7	0	TRUE	NA	NA
chr1	62434303	62436802	NM_001017415	USP1	promoter_2631	2.45192395010726	6	0	TRUE	NA	NA
chr15	63040746	63043245	NM_000366	TPM1	promoter_26310	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001018020	TPM1	promoter_26311	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001018004	TPM1	promoter_26312	2.33441464058008	7	0	TRUE	NA	NA
chr15	63040746	63043245	NM_001018005	TPM1	promoter_26313	2.33441464058008	7	0	TRUE	NA	NA
chr1	62434303	62436802	NM_001017416	USP1	promoter_2632	2.45192395010726	6	0	TRUE	NA	NA
chr15	63119860	63122359	NM_001288585	LACTB	promoter_26323	NA	NA	NA	NA	3.29246709810134	TRUE
chr15	63119860	63122359	NM_032857	LACTB	promoter_26324	1.85264101631077	6	0	TRUE	3.29246709810134	TRUE
chr15	63119860	63122359	NM_171846	LACTB	promoter_26325	1.85264101631077	6	0.00346708307307933	TRUE	3.29246709810134	TRUE
chr15	63156978	63159477	NM_015920	RPS27L	promoter_26326	2.41636991494432	6	0	TRUE	4.72363861817963	TRUE
chr15	63275549	63278048	NM_001145646	APH1B	promoter_26328	1.78297873745199	5	0	TRUE	NA	NA
chr15	63275604	63278103	NM_031301	APH1B	promoter_26329	1.78180841040205	5	0	TRUE	NA	NA
chr15	63502510	63505009	NM_001256702	USP3	promoter_26335	2.88438919008875	6	0	TRUE	NA	NA
chr15	63502592	63505091	NM_006537	USP3	promoter_26336	2.61276659628922	5	0	TRUE	NA	NA
chr15	63502592	63505091	NR_046341	USP3	promoter_26337	2.61276659628922	5	0	TRUE	NA	NA
chr15	63502592	63505091	NR_046342	USP3	promoter_26338	2.61276659628922	5	0	TRUE	NA	NA
chr15	63595386	63597885	NM_001367808	FBXL22	promoter_26340	2.6410223081434	9	0	TRUE	NA	NA
chr15	63595386	63597885	NM_001367807	FBXL22	promoter_26341	2.6410223081434	9	0	TRUE	NA	NA
chr15	63595386	63597885	NM_001367809	FBXL22	promoter_26342	2.6410223081434	9	0	TRUE	NA	NA
chr15	63595386	63597885	NM_203373	FBXL22	promoter_26343	2.6410223081434	9	0	TRUE	NA	NA
chr15	64149730	64152229	NM_024798	SNX22	promoter_26363	1.87216162512511	7	0	TRUE	NA	NA
chr15	64387188	64389687	NR_109934	PCLAF	promoter_26372	2.53866873207959	10	0	TRUE	NA	NA
chr15	64385835	64388334	NM_001321924	TRIP4	promoter_26373	2.37474809658072	7	0	TRUE	NA	NA
chr15	64385835	64388334	NM_016213	TRIP4	promoter_26374	2.37474809658072	7	0	TRUE	NA	NA
chr15	64385835	64388334	NR_135855	TRIP4	promoter_26375	2.37474809658072	7	0	TRUE	NA	NA
chr15	65294050	65296549	NR_002756	RNU5A-1	promoter_26409	2.00775504843109	7	0	TRUE	NA	NA
chr15	65302676	65305175	NR_002757	RNU5B-1	promoter_26410	1.97504116533023	6	0.00941700282752121	TRUE	4.3575755947199	TRUE
chr1	62782105	62784604	NM_178221	ATG4C	promoter_2642	1.81328365738904	5	0	TRUE	NA	NA
chr15	65528462	65530961	NM_016395	HACD3	promoter_26421	NA	NA	NA	NA	4.54996653108748	TRUE
chr1	62782131	62784630	NM_032852	ATG4C	promoter_2643	1.81328365738904	5	0.00941700282752121	TRUE	NA	NA
chr1	63010426	63012925	NR_146607	LINC01739	promoter_2644	2.17538922779309	6	0	TRUE	NA	NA
chr1	63010769	63013268	NR_146605	LINC01739	promoter_2645	2.36232487735088	7	0	TRUE	NA	NA
chr15	66356186	66358685	NM_017858	TIPIN	promoter_26472	2.55359346958381	7	0	TRUE	5.14971018157386	TRUE
chr15	66356217	66358716	NM_001289986	TIPIN	promoter_26473	2.47556663038363	7	0	TRUE	5.14971018157386	TRUE
chr15	66384911	66387410	NM_002755	MAP2K1	promoter_26475	2.86914747108091	7	0	TRUE	NA	NA
chr15	66500819	66503318	NR_002443	SNORD18C	promoter_26483	2.54941246669619	11	0	TRUE	NA	NA
chr15	66501592	66504091	NR_002442	SNORD18B	promoter_26484	2.07750028040941	9	0	TRUE	NA	NA
chr15	66502411	66504910	NR_002440	SNORD16	promoter_26485	1.66424765677303	6	0.00941700282752121	TRUE	NA	NA
chr15	67063601	67066100	NM_005902	SMAD3	promoter_26499	2.27341722456956	6	0.00346708307307933	TRUE	NA	NA
chr15	67123715	67126214	NM_001145102	SMAD3	promoter_26500	2.60466545725515	9	0	TRUE	NA	NA
chr15	67136020	67138519	NM_001145103	SMAD3	promoter_26501	1.99580526202486	6	0	TRUE	NA	NA
chr15	67164154	67166653	NM_001145104	SMAD3	promoter_26502	2.60553295971736	7	0	TRUE	NA	NA
chr15	67519130	67521629	NM_001143936	C15orf61	promoter_26523	2.31702237635458	8	0	TRUE	NA	NA
chr15	68205611	68208110	NM_001286695	CALML4	promoter_26536	2.18572618482635	7	0	TRUE	NA	NA
chr15	68205611	68208110	NM_001286694	CALML4	promoter_26537	2.18572618482635	7	0	TRUE	NA	NA
chr15	68205611	68208110	NR_104583	CALML4	promoter_26538	2.18572618482635	7	0	TRUE	NA	NA
chr15	68204833	68207332	NM_001031733	CALML4	promoter_26539	2.03100228330873	6	0	TRUE	NA	NA
chr1	63365626	63368125	NM_013339	ALG6	promoter_2654	NA	NA	NA	NA	4.43490732906881	TRUE
chr15	68204833	68207332	NM_033429	CALML4	promoter_26540	2.03100228330873	6	0	TRUE	NA	NA
chr15	68576992	68579491	NM_006091	CORO2B	promoter_26545	1.59747566729936	5	0.00654755632446035	TRUE	NA	NA
chr15	68801426	68803925	NR_036197	MIR4312	promoter_26550	1.92049123456096	6	0	TRUE	NA	NA
chr15	69450817	69453316	NM_213725	RPLP1	promoter_26576	2.00734438281453	8	0	TRUE	NA	NA
chr15	69450817	69453316	NM_001003	RPLP1	promoter_26577	2.00734438281453	8	0	TRUE	NA	NA
chr15	70094290	70096789	NM_001282982	TLE3	promoter_26588	2.69172246502472	12	0	TRUE	NA	NA
chr15	70633248	70635747	NR_126482	SALRNA2	promoter_26593	1.57037514043071	5	0	TRUE	NA	NA
chr15	70853319	70855818	NM_001286679	LARP6	promoter_26597	1.75516930718173	5	0	TRUE	NA	NA
chr15	71115005	71117504	NR_168259	CT62	promoter_26605	2.72849610485784	10	0	TRUE	NA	NA
chr15	71115005	71117504	NR_168260	CT62	promoter_26606	2.72849610485784	10	0	TRUE	NA	NA
chr15	71139448	71141947	NM_024817	THSD4	promoter_26607	1.99499962426985	5	0	TRUE	4.33453196173005	TRUE
chr15	72114850	72117349	NM_001172109	SENP8	promoter_26618	1.78524782732205	5	0	TRUE	NA	NA
chr15	72114904	72117403	NM_001172110	SENP8	promoter_26619	1.78524782732205	5	0	TRUE	NA	NA
chr15	72231125	72233624	NM_001206798	PKM	promoter_26624	2.11502702798841	9	0	TRUE	3.93857673018413	TRUE
chr15	72230691	72233190	NM_001206796	PKM	promoter_26625	1.97637246215927	5	0	TRUE	3.93857673018413	TRUE
chr15	72230691	72233190	NM_001316318	PKM	promoter_26626	1.97637246215927	5	0	TRUE	3.93857673018413	TRUE
chr15	72230691	72233190	NM_002654	PKM	promoter_26627	1.97637246215927	5	0	TRUE	3.93857673018413	TRUE
chr15	72231125	72233624	NM_001206797	PKM	promoter_26628	2.11502702798841	9	0	TRUE	3.93857673018413	TRUE
chr15	72230691	72233190	NM_182471	PKM	promoter_26629	1.97637246215927	5	0	TRUE	3.93857673018413	TRUE
chr15	72231125	72233624	NM_182470	PKM	promoter_26630	2.11502702798841	9	0	TRUE	3.93857673018413	TRUE
chr1	63621215	63623714	NM_001172818	PGM1	promoter_2665	2.74264830312072	13	0	TRUE	NA	NA
chr15	72473740	72476239	NR_135678	TMEM202-AS1	promoter_26667	NA	NA	NA	NA	5.59873598386813	TRUE
chr15	72636456	72638955	NR_135684	LINC02259	promoter_26670	2.09884162894573	9	0	TRUE	NA	NA
chr15	72636456	72638955	NR_135685	LINC02259	promoter_26671	2.09884162894573	9	0	TRUE	NA	NA
chr15	73682280	73684779	NM_025240	CD276	promoter_26700	2.33425932451977	8	0	TRUE	NA	NA
chr15	73682382	73684881	NM_001329629	CD276	promoter_26701	2.33115130095414	8	0	TRUE	NA	NA
chr15	73682382	73684881	NM_001024736	CD276	promoter_26702	2.33115130095414	8	0	TRUE	NA	NA
chr15	74365695	74368194	NM_001099773	CYP11A1	promoter_26761	NA	NA	NA	NA	4.45031301392906	TRUE
chr15	74459264	74461763	NR_038448	UBL7-AS1	promoter_26775	2.33550428989042	7	0	TRUE	NA	NA
chr15	74459264	74461763	NR_038449	UBL7-AS1	promoter_26776	2.33550428989042	7	0.00654755632446035	TRUE	NA	NA
chr15	74459264	74461763	NR_120377	UBL7-AS1	promoter_26777	2.33550428989042	7	0	TRUE	NA	NA
chr15	74746844	74749343	NM_000761	CYP1A2	promoter_26790	1.74731263242596	5	0.00346708307307933	TRUE	NA	NA
chr15	74786543	74789042	NM_001354988	CSK	promoter_26793	1.84234782100346	6	0	TRUE	NA	NA
chr15	74842657	74845156	NR_104307	ULK3	promoter_26797	2.28958551173722	5	0	TRUE	4.54006141732665	TRUE
chr15	74842657	74845156	NM_001099436	ULK3	promoter_26798	2.28958551173722	5	0.00346708307307933	TRUE	4.54006141732665	TRUE
chr15	74842657	74845156	NM_001284364	ULK3	promoter_26799	2.28958551173722	5	0.00346708307307933	TRUE	4.54006141732665	TRUE
chr15	74842657	74845156	NR_104308	ULK3	promoter_26800	2.28958551173722	5	0.00941700282752121	TRUE	4.54006141732665	TRUE
chr15	74842657	74845156	NR_104309	ULK3	promoter_26801	2.28958551173722	5	0	TRUE	4.54006141732665	TRUE
chr15	74842657	74845156	NM_001284365	ULK3	promoter_26802	2.28958551173722	5	0	TRUE	4.54006141732665	TRUE
chr1	64966437	64968936	NM_001320923	JAK1	promoter_2682	1.98347356973346	5	0	TRUE	NA	NA
chr1	64966437	64968936	NM_001321856	JAK1	promoter_2683	1.98347356973346	5	0	TRUE	NA	NA
chr15	74937574	74940073	NM_004255	COX5A	promoter_26830	2.14844844682312	7	0.00346708307307933	TRUE	NA	NA
chr15	75280840	75283339	NM_001145224	GOLGA6D	promoter_26846	2.01974706186994	7	0	TRUE	NA	NA
chr15	75344989	75347488	NM_001352519	NEIL1	promoter_26858	2.11764799169562	7	0	TRUE	4.68849502261354	TRUE
chr15	75345038	75347537	NM_001352520	NEIL1	promoter_26859	2.11764799169562	7	0	TRUE	4.68849502261354	TRUE
chr15	75345038	75347537	NM_024608	NEIL1	promoter_26860	2.11764799169562	7	0	TRUE	4.68849502261354	TRUE
chr15	75345618	75348117	NM_001256552	NEIL1	promoter_26861	2.21966499325439	7	0	TRUE	4.68849502261354	TRUE
